no,state_name,district_name

132. Chhattisgarh (CG), Dhamtari Dhamtari
133. Chhattisgarh (CG), Durg Durg
134. Chhattisgarh (CG), Gariaband Gariaband
135. Chhattisgarh (CG), Gaurela-Pendra-Marwahi Gaurella
136. Chhattisgarh (CG), Janjgir-Champa Janjgir
137. Chhattisgarh (CG), Jashpur Jashpur Nagar
138. Chhattisgarh (CG), Kabirdham Kawardha
139. Chhattisgarh (CG), Kanker Kanker
140. Chhattisgarh (CG), Kondagaon Kondagaon
141. Chhattisgarh (CG), Korba Korba
142. Chhattisgarh (CG), Koriya Baikunthpur
143. Chhattisgarh (CG), Mahasamund Mahasamund
144. Chhattisgarh (CG), Mungeli Mungeli
145. Chhattisgarh (CG), Narayanpur Narayanpur
146. Chhattisgarh (CG), Raigarh Raigarh
147. Chhattisgarh (CG), Raipur Raipur
148. Chhattisgarh (CG), Rajnandgaon Rajnandgaon
149. Chhattisgarh (CG), Sukma Sukma
150. Chhattisgarh (CG), Surajpur Surajpur
151. Chhattisgarh (CG), Surguja Ambikapur
152. Goa (GA), North Goa Panaji
153. Goa (GA), South Goa Margao
154. Gujarat (GJ), Ahmedabad Ahmedabad
155. Gujarat (GJ), Amreli Amreli
156. Gujarat (GJ), Anand Anand
157. Gujarat (GJ), Aravalli Modasa
158. Gujarat (GJ), Banaskantha Palanpur
159. Gujarat (GJ), Bharuch Bharuch
160. Gujarat (GJ), Bhavnagar Bhavnagar
161. Gujarat (GJ), Botad Botad
162. Gujarat (GJ), Chhota Udaipur Chhota Udaipur
163. Gujarat (GJ), Dahod Dahod
164. Gujarat (GJ), Dang Ahwa
165. Gujarat (GJ), Devbhoomi Dwarka Khambhaliya
166. Gujarat (GJ), Gandhinagar Gandhinagar
167. Gujarat (GJ), Gir Somnath Veraval
168. Gujarat (GJ), Jamnagar Jamnagar
169. Gujarat (GJ), Junagadh Junagadh
170. Gujarat (GJ), Kachchh (Kutch) Bhuj
171. Gujarat (GJ), Kheda Nadiad
172. Gujarat (GJ), Mahisagar Lunawada
173. Gujarat (GJ), Mehsana Mehsana
174. Gujarat (GJ), Morbi Morbi
175. Gujarat (GJ), Narmada Rajpipla
176. Gujarat (GJ), Navsari Navsari
177. Gujarat (GJ), Panchmahal Godhra
178. Gujarat (GJ), Patan Patan
179. Gujarat (GJ), Porbandar Porbandar
180. Gujarat (GJ), Rajkot Rajkot
181. Gujarat (GJ), Sabarkantha Himmatnagar
182. Gujarat (GJ), Surat Surat
183. Gujarat (GJ), Surendranagar Surendranagar
184. Gujarat (GJ), Tapi Vyara
185. Gujarat (GJ), Vadodara Vadodara
186. Gujarat (GJ), Valsad Valsad
187. Haryana (HR), Ambala Ambala
188. Haryana (HR), Bhiwani Bhiwani
189. Haryana (HR), Charkhi Dadri Charkhi Dadri
190. Haryana (HR), Faridabad Faridabad
191. Haryana (HR), Fatehabad Fatehabad
192. Haryana (HR), Gurugram (Gurgaon) Gurugram
193. Haryana (HR), Hisar Hisar
194. Haryana (HR), Jhajjar Jhajjar
195. Haryana (HR), Jind Jind
196. Haryana (HR), Kaithal Kaithal
197. Haryana (HR), Karnal Karnal
198. Haryana (HR), Kurukshetra Kurukshetra
199. Haryana (HR), Mahendragarh Narnaul
200. Haryana (HR), Nuh Nuh
201. Haryana (HR), Palwal Palwal
202. Haryana (HR), Panchkula Panchkula
203. Haryana (HR), Panipat Panipat
204. Haryana (HR), Rewari Rewari
205. Haryana (HR), Rohtak Rohtak
206. Haryana (HR), Sirsa Sirsa
207. Haryana (HR), Sonipat Sonipat
208. Haryana (HR), Yamunanagar Yamunanagar
209. Himachal Pradesh (HP), Bilaspur Bilaspur
210. Himachal Pradesh (HP), Chamba Chamba
211. Himachal Pradesh (HP), Hamirpur Hamirpur
212. Himachal Pradesh (HP), Kangra Dharamshala
213. Himachal Pradesh (HP), Kinnaur Reckong Peo
214. Himachal Pradesh (HP), Kullu Kullu
215. Himachal Pradesh (HP), Lahaul & Spiti Keylong
216. Himachal Pradesh (HP), Mandi Mandi
217. Himachal Pradesh (HP), Shimla Shimla
218. Himachal Pradesh (HP), Sirmaur Nahan
219. Himachal Pradesh (HP), Solan Solan
220. Himachal Pradesh (HP), Una Una
221. Jharkhand (JH), Bokaro Bokaro Steel City
222. Jharkhand (JH), Chatra Chatra
223. Jharkhand (JH), Deoghar Deoghar
224. Jharkhand (JH), Dhanbad Dhanbad
225. Jharkhand (JH), Dumka Dumka
226. Jharkhand (JH), East Singhbhum Jamshedpur
227. Jharkhand (JH), Garhwa Garhwa
228. Jharkhand (JH), Giridih Giridih
229. Jharkhand (JH), Godda Godda
230. Jharkhand (JH), Gumla Gumla
231. Jharkhand (JH), Hazaribagh Hazaribagh
232. Jharkhand (JH), Jamtara Jamtara
233. Jharkhand (JH), Khunti Khunti
234. Jharkhand (JH), Koderma Koderma
235. Jharkhand (JH), Latehar Latehar
236. Jharkhand (JH), Lohardaga Lohardaga
237. Jharkhand (JH), Pakur Pakur
238. Jharkhand (JH), Palamu Daltonganj
239. Jharkhand (JH), Ramgarh Ramgarh
240. Jharkhand (JH), Ranchi Ranchi
241. Jharkhand (JH), Sahebganj Sahebganj
242. Jharkhand (JH), Seraikela-Kharsawan Seraikela
243. Jharkhand (JH), Simdega Simdega
244. Jharkhand (JH), West Singhbhum Chaibasa
245. Karnataka (KA), Bagalkot Bagalkot
246. Karnataka (KA), Ballari Ballari
247. Karnataka (KA), Belagavi Belagavi
248. Karnataka (KA), Bengaluru Urban Bengaluru
249. Karnataka (KA), Bengaluru Rural Bengaluru
250. Karnataka (KA), Bidar Bidar
251. Karnataka (KA), Chamarajanagar Chamarajanagar
252. Karnataka (KA), Chikballapur Chikballapur
253. Karnataka (KA), Chikkamagaluru Chikkamagaluru
254. Karnataka (KA), Chitradurga Chitradurga
255. Karnataka (KA), Dakshina Kannada Mangaluru
256. Karnataka (KA), Davanagere Davanagere
257. Karnataka (KA), Dharwad Dharwad
258. Karnataka (KA), Gadag Gadag
259. Karnataka (KA), Hassan Hassan
260. Karnataka (KA), Haveri Haveri
261. Karnataka (KA), Kalaburagi Kalaburagi
262. Karnataka (KA), Kodagu Madikeri
